# N  mean_uniform  error_uniform  mean_importance  error_importance
1 0.976496 0 0.999912 0
2 0.985353 0.00885695 1.00024 0.000328407
3 0.991653 0.00811391 0.999585 0.000682626
4 0.987794 0.00691456 1.00101 0.00150027
5 0.996706 0.0103975 1.00039 0.00131386
6 0.99922 0.00885391 1.00037 0.0010731
7 0.997614 0.00765332 0.999962 0.000992679
8 0.994657 0.00725768 1.00073 0.00115317
9 0.99364 0.0064809 1.00045 0.00105557
10 0.994718 0.00589614 1.00094 0.00106302
11 0.995691 0.0054212 1.00127 0.00101872
12 0.998844 0.00586831 1.00108 0.000949529
13 1.00155 0.00603722 1.00112 0.000874504
14 1.00277 0.00572131 1.00115 0.000810111
15 1.00261 0.00532857 1.00104 0.000762709
16 1.00217 0.00500428 1.00054 0.000867804
17 1.00241 0.00470717 1.00067 0.000825145
18 1.00096 0.00466981 1.00077 0.000784756
19 1.00041 0.00445125 1.00081 0.000743151
20 1.00058 0.00422619 1.00083 0.000705376
21 1.00059 0.00401992 1.00135 0.000849049
22 1.00089 0.00384479 1.00152 0.000827413
23 1.0008 0.00367489 1.0014 0.000800847
24 0.999406 0.00378442 1.00123 0.0007852
25 0.998987 0.003654 1.00137 0.000766273
26 0.998944 0.00351092 1.00125 0.00074576
27 0.998575 0.00339845 1.00112 0.000728492
28 0.998566 0.00327484 1.00099 0.00071518
29 0.998236 0.00317706 1.00149 0.00085239
30 0.998646 0.00309653 1.00162 0.000834633
31 0.997746 0.00312722 1.00173 0.000814324
32 0.997456 0.00304177 1.00166 0.000791712
33 0.996778 0.00302511 1.0016 0.000769706
34 0.996981 0.0029418 1.00146 0.000759056
35 0.997477 0.00289922 1.00147 0.000737067
36 0.997692 0.00282572 1.00118 0.000772098
37 0.997311 0.00277455 1.00102 0.000767508
38 0.997462 0.00270477 1.00095 0.000750163
39 0.997433 0.00263467 1.00111 0.00074765
40 0.997135 0.00258514 1.00121 0.000735194
41 0.997819 0.00261247 1.00106 0.000732046
42 0.998101 0.00256503 1.00094 0.000725157
43 0.997823 0.00252002 1.00069 0.000749948
44 0.997545 0.00247778 1.00077 0.000737282
45 0.997576 0.0024223 1.00078 0.000720782
46 0.9975 0.00237027 1.00073 0.000706679
47 0.99728 0.00232977 1.0007 0.000692075
48 0.997347 0.0022817 1.00064 0.00068076
49 0.997601 0.00224909 1.0007 0.000669491
50 0.997344 0.00221864 1.00077 0.000660241
51 0.997738 0.00221012 1.00075 0.000647425
52 0.9977 0.00216753 1.00075 0.000634915
53 0.997721 0.00212635 1.00062 0.000636206
54 0.998007 0.00210607 1.00057 0.000625951
55 0.997586 0.00210985 1.00055 0.000614762
56 0.997602 0.00207189 1.00056 0.000603777
57 0.997255 0.00206456 1.00057 0.000593119
58 0.997564 0.00205201 1.00037 0.000614882
59 0.997573 0.00201695 1.00033 0.000605552
60 0.997691 0.00198652 1.00042 0.000601051
61 0.997456 0.0019677 1.00043 0.000591197
62 0.997743 0.00195685 1.00039 0.000582603
63 0.997754 0.00192556 1.00048 0.000580128
64 0.997648 0.00189819 1.00057 0.000578673
65 0.997494 0.00187511 1.00055 0.000570326
66 0.997415 0.00184817 1.00061 0.000564546
67 0.997145 0.00184026 1.00064 0.000556877
68 0.997092 0.00181377 1.00052 0.000560603
69 0.997441 0.00182096 1.00053 0.000552564
70 0.997399 0.00179525 1.00046 0.000549013
71 0.997297 0.0017727 1.00056 0.000549332
72 0.997396 0.00175068 1.00049 0.000545667
73 0.9972 0.00173756 1.0004 0.000545646
74 0.997427 0.00172881 1.00036 0.000539991
75 0.997524 0.00170837 1.00036 0.000532776
76 0.997975 0.00174499 1.00032 0.000527277
77 0.997883 0.00172463 1.00025 0.000525002
78 0.998264 0.00174457 1.00022 0.000519535
79 0.998397 0.00172745 1.00027 0.000515173
80 0.998299 0.0017085 1.00024 0.000509323
81 0.998132 0.00169555 1.00033 0.000511355
82 0.99827 0.00168042 1.00025 0.000511326
83 0.998372 0.00166317 1.0002 0.000507888
84 0.998073 0.00167029 1.00011 0.000510509
85 0.997885 0.0016611 1.00022 0.000517588
86 0.998 0.00164568 1.00019 0.000512576
87 0.998199 0.00163876 1.00015 0.000507993
88 0.998475 0.00164338 1.0002 0.000504705
89 0.998487 0.00162485 1.00023 0.000499682
90 0.99837 0.00161095 1.00024 0.000494339
91 0.998045 0.00162601 1.00023 0.000488957
92 0.997863 0.00161845 1.00018 0.00048676
93 0.997827 0.00160135 1.0001 0.000488382
94 0.997659 0.00159312 1.00017 0.000488613
95 0.997766 0.00157989 1.00015 0.000483977
96 0.99777 0.00156335 1.00019 0.00048111
97 0.997555 0.00156204 1.00017 0.000476608
98 0.997531 0.00154621 1.00017 0.000471753
99 0.997428 0.00153394 1.0002 0.000468197
100 0.997298 0.0015241 1.00016 0.000465019
