# N  mean_uniform  error_uniform  mean_importance  error_importance
1 0.986532 0 1.00276 0
2 0.986315 0.00021679 0.99853 0.00423512
3 0.98216 0.00415638 0.99922 0.0025408
4 0.98234 0.00294447 1.0004 0.00215137
5 0.984053 0.00285243 0.999406 0.00194233
6 0.988143 0.00470708 0.999493 0.00158828
7 0.990789 0.00477772 0.998552 0.00163926
8 0.989617 0.00430052 0.998415 0.00142622
9 0.991529 0.0042476 0.998113 0.00129354
10 0.990691 0.00389041 0.997715 0.00122336
11 0.990779 0.00352011 0.997785 0.00110876
12 0.991391 0.00327118 0.997523 0.00104541
13 0.991368 0.00300914 0.997476 0.00096279
14 0.991838 0.00282539 0.997169 0.000942982
15 0.99233 0.0026759 0.99725 0.000881626
16 0.993676 0.00284213 0.997346 0.000830222
17 0.994586 0.00282052 0.997312 0.000780591
18 0.995119 0.00271198 0.996886 0.000850339
19 0.996603 0.00296358 0.997099 0.000832002
20 0.997205 0.00287524 0.996682 0.000892442
21 0.996755 0.00277171 0.996898 0.000875915
22 0.997328 0.00270416 0.996995 0.000840767
23 0.997293 0.00258416 0.997174 0.000823104
24 0.996313 0.00266116 0.997015 0.000803929
25 0.996827 0.00260376 0.997239 0.000803042
26 0.996565 0.00251523 0.997419 0.00079208
27 0.996348 0.00243 0.997592 0.000781605
28 0.995862 0.00239164 0.997579 0.000753276
29 0.997168 0.00265176 0.99789 0.000790443
30 0.99633 0.00269534 0.998111 0.000795
31 0.996711 0.00263461 0.998164 0.000770742
32 0.996886 0.00255697 0.99822 0.000748331
33 0.996993 0.00248058 0.998505 0.00077959
34 0.996528 0.00245109 0.998628 0.00076623
35 0.99579 0.00249186 0.998539 0.000749347
36 0.996346 0.00248476 0.998779 0.000766675
37 0.997082 0.00252619 0.998908 0.000756849
38 0.998132 0.0026738 0.999101 0.000761444
39 0.997519 0.00267566 0.999133 0.000742364
40 0.997551 0.00260811 0.998962 0.000743588
41 0.997901 0.00256765 0.998923 0.000726269
42 0.997378 0.00255958 0.99904 0.000718334
43 0.996801 0.00256516 0.999011 0.00070203
44 0.996791 0.0025062 0.998942 0.00068933
45 0.997092 0.00246823 0.999067 0.000685295
46 0.996732 0.00244063 0.999225 0.000688706
47 0.996621 0.00239074 0.999109 0.000683848
48 0.996642 0.0023405 0.999071 0.000670515
49 0.997093 0.00233614 0.999024 0.000658408
50 0.997446 0.00231605 0.999078 0.000647394
51 0.997282 0.00227609 0.99908 0.000634575
52 0.997846 0.00230204 0.998984 0.000629543
53 0.997935 0.00225995 0.999095 0.000627455
54 0.998126 0.00222586 0.999113 0.000615978
55 0.998183 0.00218577 0.999102 0.00060478
56 0.998365 0.00215406 0.999078 0.000594363
57 0.998172 0.00212474 0.999238 0.000605394
58 0.998305 0.00209203 0.999142 0.000602497
59 0.998172 0.00206052 0.999124 0.000592482
60 0.998164 0.0020259 0.999107 0.000582753
61 0.998183 0.00199251 0.999242 0.000588804
62 0.997948 0.00197411 0.999202 0.000580605
63 0.997976 0.00194271 0.999296 0.000578899
64 0.998083 0.00191515 0.999343 0.000571692
65 0.997994 0.00188755 0.999452 0.000573365
66 0.997746 0.00187524 0.999488 0.000565743
67 0.997881 0.00185193 0.999457 0.000558102
68 0.997823 0.00182541 0.999521 0.000553565
69 0.997711 0.00180224 0.999557 0.000546718
70 0.997883 0.00178463 0.999609 0.000541349
71 0.997515 0.00179732 0.999583 0.00053431
72 0.997721 0.00178412 0.999615 0.000527801
73 0.997851 0.0017643 0.999628 0.000520667
74 0.998231 0.00178124 0.999698 0.000518454
75 0.998464 0.00177269 0.999681 0.000511778
76 0.998109 0.0017848 0.999693 0.00050513
77 0.997969 0.00176705 0.999645 0.00050083
78 0.998003 0.00174458 0.999683 0.000495842
79 0.998257 0.00174095 0.999644 0.000491055
80 0.998191 0.00172032 0.999615 0.000485741
81 0.998132 0.00169998 0.999616 0.000479707
82 0.998162 0.00167939 0.999651 0.000475139
83 0.997771 0.00170435 0.999611 0.000471128
84 0.997908 0.00168946 0.999604 0.000465528
85 0.997878 0.00166972 0.999634 0.000460956
86 0.997798 0.00165214 0.999647 0.000455746
87 0.997962 0.00164122 0.999615 0.000451564
88 0.998077 0.00162655 0.999633 0.000446766
89 0.998431 0.00164669 0.999588 0.000443993
90 0.998586 0.0016356 0.999638 0.000441821
91 0.998358 0.00163341 0.999645 0.000436998
92 0.997945 0.00166766 0.999651 0.00043226
93 0.998148 0.00166209 0.999637 0.000427812
94 0.998284 0.00164991 0.99961 0.000424087
95 0.997984 0.00165969 0.999589 0.000420126
96 0.998195 0.00165573 0.999647 0.000419737
97 0.997846 0.00167518 0.999625 0.000415952
98 0.99778 0.00165934 0.99958 0.000414174
99 0.997435 0.00167825 0.999648 0.000415481
100 0.997584 0.00166806 0.999615 0.000412595
