# Block  Call_Price  Call_Error  Put_Price  Put_Error
1 14.7233 0 5.80195 0
2 15.0599 0.336647 5.75969 0.0422644
3 14.655 0.449136 5.82658 0.0712021
4 14.6851 0.319011 5.67722 0.157612
5 14.6846 0.247105 5.68388 0.122267
6 14.8478 0.259459 5.57208 0.149884
7 15.0004 0.267175 5.54665 0.129204
8 15.0066 0.231465 5.50632 0.118939
9 14.9642 0.208495 5.50634 0.104894
10 14.9215 0.191316 5.52059 0.0948971
11 14.8323 0.194678 5.52661 0.0860488
12 14.8318 0.177717 5.5112 0.0800492
13 14.8855 0.172064 5.49858 0.074709
14 14.898 0.159792 5.49872 0.0691673
15 14.9148 0.149697 5.50004 0.0644048
16 14.8744 0.145733 5.48471 0.0621635
17 14.8884 0.137604 5.4871 0.0584413
18 14.8943 0.129871 5.48131 0.0554028
19 14.9178 0.125066 5.45974 0.0566717
20 14.8956 0.120706 5.45764 0.0538045
21 14.8927 0.114852 5.45673 0.0511864
22 14.8594 0.114457 5.47477 0.0520345
23 14.9028 0.117684 5.4718 0.0498098
24 14.8803 0.114899 5.4656 0.04809
25 14.8508 0.114101 5.47999 0.0483197
26 14.8944 0.117973 5.45733 0.0516601
27 14.9041 0.113941 5.4713 0.051635
28 14.9032 0.1098 5.46992 0.049776
29 14.8662 0.112196 5.46904 0.0480368
30 14.8893 0.110824 5.46063 0.0471643
31 14.9166 0.110594 5.4572 0.0457463
32 14.9139 0.107115 5.46505 0.0449846
33 14.9323 0.105426 5.45441 0.0448794
34 14.9532 0.104402 5.4646 0.0447157
35 14.9403 0.10219 5.4643 0.0434204
36 14.9304 0.099803 5.47368 0.0432265
37 14.9223 0.0974079 5.46638 0.0426707
38 14.9292 0.0950625 5.46228 0.0417347
39 14.9289 0.0925935 5.46015 0.0407063
40 14.9324 0.0903161 5.44833 0.0413983
41 14.9207 0.0888595 5.44744 0.0403857
42 14.9146 0.0869323 5.44601 0.0394384
43 14.9216 0.0851768 5.44724 0.03853
44 14.9249 0.0832819 5.44913 0.0376916
45 14.9286 0.0814957 5.45509 0.0373231
46 14.927 0.0797194 5.45342 0.0365407
47 14.9208 0.0782518 5.45777 0.036018
48 14.9126 0.0770465 5.45897 0.0352801
49 14.9147 0.0754864 5.46204 0.0346891
50 14.8996 0.0754805 5.46262 0.0339932
51 14.9103 0.0747499 5.45552 0.0340688
52 14.8969 0.0745068 5.4597 0.0336676
53 14.9175 0.0759321 5.46049 0.0330357
54 14.9277 0.0752048 5.46547 0.032799
55 14.9056 0.0770597 5.48053 0.0355447
56 14.9087 0.0757346 5.47999 0.0349085
57 14.922 0.075583 5.47243 0.0351129
58 14.9197 0.0743057 5.47253 0.0345023
59 14.9296 0.0737046 5.4754 0.0340338
60 14.9212 0.0729487 5.47452 0.0334732
61 14.9416 0.0745992 5.4585 0.036614
62 14.934 0.0737774 5.46147 0.0361412
63 14.9308 0.0726702 5.45627 0.0359416
64 14.9443 0.0727937 5.45558 0.0353822
65 14.9283 0.0734418 5.45719 0.0348708
66 14.93 0.0723405 5.45745 0.0343394
67 14.9305 0.0712547 5.46046 0.0339566
68 14.9418 0.0710999 5.45605 0.0337431
69 14.9426 0.0700671 5.4534 0.033356
70 14.9451 0.0691042 5.45413 0.032884
71 14.9518 0.068448 5.45272 0.0324482
72 14.9505 0.0675021 5.44685 0.0325287
73 14.9659 0.068321 5.44656 0.0320813
74 14.9692 0.067473 5.4385 0.0326551
75 14.9741 0.0667483 5.43896 0.03222
76 14.9741 0.0658642 5.43861 0.0317951
77 14.9647 0.0656777 5.44386 0.0318159
78 14.9678 0.0649036 5.44111 0.0315259
79 14.9633 0.0642357 5.44234 0.0311487
80 14.962 0.0634413 5.44303 0.0307644
81 14.9665 0.0628158 5.44238 0.0303891
82 14.9488 0.0645089 5.44625 0.0302646
83 14.9431 0.0639856 5.44843 0.0299774
84 14.95 0.063596 5.44751 0.0296327
85 14.9464 0.0629432 5.45054 0.0294384
86 14.9481 0.0622283 5.45161 0.0291139
87 14.9553 0.06193 5.4529 0.028806
88 14.9589 0.0613319 5.45111 0.0285327
89 14.9597 0.0606431 5.45315 0.028284
90 14.9708 0.0609921 5.45311 0.027968
91 14.9731 0.0603603 5.45439 0.0276887
92 14.9643 0.060333 5.46282 0.0286546
93 14.9581 0.0600026 5.45996 0.0284885
94 14.9548 0.0594533 5.4605 0.0281889
95 14.9521 0.058885 5.46263 0.0279718
96 14.9327 0.0614376 5.46825 0.0282447
97 14.9263 0.0611297 5.47054 0.0280452
98 14.9242 0.0605396 5.46806 0.0278677
99 14.9273 0.0600045 5.47084 0.0277244
100 14.9247 0.0594596 5.47738 0.0282141
