# Block  Call_Price  Call_Error  Put_Price  Put_Error
1 14.9666 0 5.89571 0
2 15.2146 0.248015 5.76043 0.135279
3 14.6564 0.576287 5.61542 0.164706
4 14.7537 0.418945 5.55314 0.132073
5 14.8403 0.33588 5.44927 0.14579
6 14.9659 0.301662 5.38348 0.136005
7 15.0088 0.258525 5.36311 0.116737
8 15.0163 0.224016 5.36154 0.101109
9 15.0257 0.197784 5.35454 0.089444
10 15.0599 0.180186 5.33556 0.082223
11 15.1018 0.168288 5.33492 0.0743762
12 15.0727 0.156369 5.35475 0.070733
13 15.0232 0.152117 5.35252 0.0651029
14 15.0197 0.140875 5.33472 0.0628478
15 14.9965 0.133183 5.34011 0.0587561
16 15.0044 0.124832 5.36844 0.0618306
17 15.0971 0.149469 5.35109 0.0606162
18 15.1035 0.141063 5.34929 0.0571776
19 15.0896 0.134149 5.33476 0.0560034
20 15.1317 0.134033 5.30811 0.0594397
21 15.1099 0.129343 5.32909 0.0603074
22 15.1016 0.123602 5.34239 0.059019
23 15.0825 0.119638 5.36657 0.0613567
24 15.0875 0.114653 5.38195 0.0607257
25 15.0951 0.110233 5.38062 0.0582613
26 15.0655 0.109954 5.38297 0.056025
27 15.0329 0.110704 5.38424 0.053925
28 14.9845 0.117153 5.39773 0.053685
29 14.9479 0.11882 5.4016 0.0519453
30 14.9826 0.119922 5.39481 0.0506413
31 14.9399 0.123622 5.4127 0.0521464
32 14.952 0.12031 5.40082 0.0518689
33 14.9779 0.119454 5.39782 0.050362
34 14.9885 0.116373 5.39837 0.0488615
35 14.9899 0.113008 5.39708 0.0474626
36 14.9936 0.109885 5.3861 0.0474135
37 14.9988 0.107002 5.37757 0.0468966
38 14.9763 0.106558 5.37493 0.0457223
39 14.9947 0.105414 5.37897 0.0447173
40 14.9816 0.10358 5.38693 0.0443067
41 14.9857 0.101104 5.37431 0.0450178
42 14.9854 0.0986681 5.37277 0.0439599
43 14.9619 0.0991764 5.3933 0.0475808
44 14.9619 0.0968962 5.38881 0.0467029
45 14.9521 0.0952232 5.38248 0.0460906
46 14.9383 0.0941468 5.39224 0.0461225
47 14.9373 0.0921269 5.3927 0.0451328
48 14.9135 0.0932775 5.39763 0.0444566
49 14.9369 0.0942989 5.40267 0.0438312
50 14.9565 0.0944378 5.39652 0.0433837
51 14.9647 0.0929361 5.39704 0.0425276
52 14.9609 0.0912126 5.4026 0.0420704
53 14.9557 0.0896263 5.4009 0.0413039
54 14.9761 0.0902958 5.39341 0.0412183
55 14.9861 0.0891963 5.39773 0.0406916
56 15.0001 0.0887035 5.39686 0.0399677
57 15.0087 0.0875576 5.3995 0.0393489
58 15.0188 0.0866284 5.39578 0.0388429
59 15.0104 0.0855648 5.39793 0.0382395
60 15.0103 0.0841266 5.40292 0.0379252
61 14.9976 0.0837091 5.40346 0.0373023
62 14.9974 0.0823481 5.39907 0.0369572
63 14.9957 0.0810472 5.40209 0.0364914
64 15.007 0.0805626 5.4059 0.0361175
65 14.9992 0.079694 5.40433 0.0355919
66 14.9927 0.0787517 5.40562 0.035072
67 14.9995 0.0778707 5.40912 0.0347223
68 14.9866 0.0778042 5.41318 0.034447
69 14.9913 0.0768108 5.40959 0.0341331
70 14.9974 0.0759538 5.41297 0.0338113
71 15.0038 0.0751535 5.40847 0.0336338
72 15.0126 0.0746161 5.40954 0.0331808
73 15.0137 0.0735951 5.40799 0.03276
74 15.0244 0.0733772 5.40831 0.0323159
75 15.0151 0.0729805 5.40651 0.0319331
76 15.0013 0.0733235 5.40713 0.0315164
77 15.0019 0.0723671 5.40713 0.0311044
78 14.9931 0.0719713 5.409 0.0307595
79 14.9904 0.0711068 5.4088 0.0303683
80 14.9913 0.070218 5.40771 0.0300059
81 14.9903 0.0693518 5.41298 0.0300981
82 14.9873 0.0685666 5.41434 0.0297597
83 14.9718 0.069499 5.41945 0.0298395
84 14.9664 0.0688773 5.41666 0.0296133
85 14.9611 0.0682684 5.42333 0.0300129
86 14.9528 0.0679791 5.42487 0.0297016
87 14.9688 0.0690697 5.42154 0.0295457
88 14.9633 0.0685002 5.42392 0.029305
89 14.9677 0.0678701 5.41851 0.0294745
90 14.973 0.0673176 5.41566 0.0292849
91 14.9642 0.0671466 5.41949 0.0292143
92 14.9582 0.0666879 5.41861 0.0289086
93 14.9777 0.0687865 5.41803 0.0286019
94 14.9701 0.0684744 5.41699 0.028315
95 14.9726 0.0677953 5.41984 0.0281596
96 14.9653 0.0674799 5.41736 0.0279748
97 14.9675 0.0668184 5.41327 0.0279856
98 14.9709 0.0662202 5.41285 0.0277017
99 14.9655 0.0657736 5.41482 0.0274908
100 14.9683 0.0651742 5.41736 0.0273332
