#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.98032     2.98032           0
           2     2.59805     2.78919    0.135153
           3     2.34312      2.6405    0.151186
           4     2.23202     2.53838      0.1438
           5     2.18947      2.4686    0.130881
           6     2.09665     2.40661    0.122874
           7     2.08896     2.36123    0.113391
           8     1.98483     2.31418     0.10854
           9     1.96096     2.27493    0.103332
          10     2.00223     2.24766   0.0965303
          11     1.98497     2.22378   0.0906608
          12     1.93874     2.20003   0.0861614
          13     1.91624      2.1782   0.0822524
          14     1.97685     2.16382   0.0776244
          15     1.96408      2.1505   0.0735827
          16     1.98238     2.13999     0.06973
          17     1.94071     2.12827   0.0666063
          18     1.94334       2.118   0.0636934
          19      1.9302     2.10811   0.0611031
          20     1.93008     2.09921   0.0586928
