#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.38797    -1.38797           0
           2    -1.00345    -1.19571     0.13595
           3   -0.746995    -1.04614    0.152082
           4   -0.635607   -0.943507    0.144604
           5   -0.593002   -0.873406    0.131582
           6   -0.500187   -0.811203    0.123482
           7   -0.492327   -0.765649    0.113935
           8   -0.388292   -0.718479    0.109021
           9   -0.364464   -0.679144    0.103761
          10   -0.405783   -0.651808   0.0969192
          11   -0.388467   -0.627868   0.0910171
          12   -0.342101   -0.604054   0.0864916
          13   -0.319601   -0.582173   0.0825598
          14   -0.380224   -0.567748   0.0779126
          15   -0.367434   -0.554394    0.073854
          16    -0.38579   -0.543856   0.0699859
          17   -0.343979   -0.532099   0.0668494
          18   -0.346702   -0.521799   0.0639241
          19   -0.333517   -0.511889    0.061323
          20   -0.333508    -0.50297   0.0589019
