#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59235     1.59235           0
           2      1.5946     1.59347  0.00079654
           3     1.59612     1.59436 0.000895452
           4     1.59641     1.59487 0.000805873
           5     1.59647     1.59519  0.00070515
           6     1.59646      1.5954  0.00061869
           7     1.59664     1.59558 0.000554913
           8     1.59654      1.5957 0.000498389
           9     1.59649     1.59579  0.00045077
          10     1.59645     1.59585  0.00041046
          11      1.5965     1.59591 0.000377313
          12     1.59664     1.59597 0.000350664
          13     1.59664     1.59602  0.00032743
          14     1.59663     1.59607 0.000306886
          15     1.59664     1.59611 0.000288814
          16     1.59659     1.59614 0.000272329
          17     1.59673     1.59617 0.000258558
          18     1.59664      1.5962 0.000245497
          19     1.59669     1.59622 0.000233921
          20     1.59657     1.59624 0.000222864
