#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0569605   0.0569605           0
           2   0.0559711   0.0564658 0.000349787
           3   0.0549684   0.0559667 0.000469541
           4   0.0538323   0.0554331    0.000581
           5   0.0563221   0.0556109 0.000491254
           6    0.054927   0.0554969 0.000422392
           7    0.056922   0.0557005 0.000408177
           8   0.0565297   0.0558041  0.00037008
           9    0.055995   0.0558253 0.000329567
          10   0.0578195   0.0560248 0.000351805
          11   0.0520566    0.055664 0.000469669
          12   0.0545162   0.0555684 0.000440162
          13   0.0557663   0.0555836 0.000406567
          14   0.0544527   0.0555028 0.000385467
          15   0.0559991   0.0555359 0.000361186
          16   0.0567536    0.055612 0.000346538
          17   0.0575729   0.0557274 0.000344817
          18   0.0577382   0.0558391  0.00034328
          19   0.0565021    0.055874 0.000326981
          20    0.056871   0.0559238 0.000314409
