#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.28672     1.28672           0
           2      1.2868     1.28676 2.95938e-05
           3     1.29556     1.28969  0.00239527
           4     1.29381     1.29072  0.00200512
           5     1.32158     1.29689  0.00574927
           6     1.30942     1.29898  0.00515623
           7     1.31694     1.30155  0.00501749
           8     1.30435      1.3019  0.00440254
           9     1.29854     1.30152  0.00392918
          10      1.3267     1.30404  0.00426698
          11     1.30009     1.30368  0.00389417
          12      1.3479     1.30737  0.00501859
          13     1.33894      1.3098  0.00518697
          14     1.32531      1.3109  0.00493347
          15     1.30755     1.31068  0.00460963
          16     1.33384     1.31213  0.00454313
          17     1.30169     1.31151  0.00431721
          18     1.35091      1.3137  0.00459871
          19     1.34266     1.31523  0.00460228
          20     1.37121     1.31803  0.00515363
