#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.663584   -0.663584           0
           2   -0.666448   -0.665016  0.00101258
           3   -0.664096   -0.664709 0.000719993
           4   -0.666336   -0.665116 0.000644692
           5   -0.658888    -0.66387  0.00122769
           6   -0.663072   -0.663737  0.00103026
           7   -0.662256   -0.663526 0.000904552
           8    -0.66584   -0.663815 0.000836463
           9   -0.662968   -0.663721 0.000748798
          10   -0.662232   -0.663572 0.000688562
          11   -0.666688   -0.663855 0.000681749
          12   -0.665176   -0.663965 0.000633758
          13     -0.6646   -0.664014 0.000586885
          14   -0.664952   -0.664081 0.000548774
          15   -0.662352   -0.663966 0.000524157
          16   -0.662176   -0.663854 0.000503193
          17   -0.666456   -0.664007 0.000496326
          18   -0.661752   -0.663882 0.000484306
          19    -0.66428   -0.663903  0.00045927
          20      -0.667   -0.664058 0.000461678
