#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.43734     2.43734           0
           2     2.38525      2.4113   0.0184187
           3     2.40215     2.40825   0.0125287
           4     2.68155     2.47657   0.0599133
           5     2.47672      2.4766   0.0479306
           6     2.53725     2.48671   0.0409942
           7     2.55138     2.49595   0.0361639
           8     2.50367     2.49692   0.0316563
           9     2.58737     2.50697   0.0296916
          10     2.64086     2.52036   0.0295879
          11     2.47614     2.51634   0.0271698
          12     2.51079     2.51587   0.0249096
          13     2.59301     2.52181   0.0236897
          14      2.5073     2.52077   0.0220202
          15     2.55103     2.52279   0.0206444
          16     2.44956     2.51821    0.019855
          17     2.51932     2.51828   0.0186872
          18      2.4267     2.51319   0.0183285
          19     2.65469     2.52064   0.0188161
          20     2.40454     2.51483   0.0187493
