#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.071424    0.071424           0
           2    0.043468    0.057446  0.00988394
           3    0.050588     0.05516  0.00684855
           4    0.054716    0.055049  0.00513731
           5    0.045036   0.0530464  0.00448321
           6    0.052964   0.0530327  0.00373603
           7    0.042168   0.0514806  0.00350994
           8     0.05198    0.051543  0.00307175
           9    0.045492   0.0508707  0.00280306
          10    0.060488   0.0518324  0.00268267
          11     0.04944   0.0516149  0.00244759
          12    0.066352    0.052843  0.00253306
          13    0.065992   0.0538545  0.00253211
          14    0.048508   0.0534726  0.00237987
          15    0.063396   0.0541341  0.00231133
          16    0.046228     0.05364  0.00221906
          17    0.055384   0.0537426   0.0020909
          18    0.049584   0.0535116  0.00198746
          19    0.070088    0.054384  0.00206549
          20    0.059504     0.05464  0.00197802
