#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29833    0.653022           0
           2    0.295264     0.65186    0.324623
           3    0.297569    0.651524    0.264947
           4    0.296806    0.652746     0.22984
           5    0.299525    0.651801    0.205326
           6    0.299664    0.652214    0.187565
           7    0.290882    0.651279    0.173374
           8    0.298018    0.651499    0.162234
           9    0.301923    0.651756    0.153033
          10    0.308719    0.652951    0.145465
          11    0.299181    0.653089    0.138725
          12    0.298688    0.653195    0.132839
          13     0.29626    0.653068    0.127599
          14     0.29877    0.653128    0.122969
          15    0.299073    0.653135    0.118802
          16    0.293798    0.652613    0.114935
          17    0.301578    0.653052    0.111578
          18    0.284843    0.651964    0.108244
          19    0.301241     0.65237    0.105422
          20    0.305997    0.652898     0.10284
