#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.423443     1.01474           0
           2    0.413061     1.00564    0.495636
           3    0.407512     1.00225    0.403008
           4    0.423997     1.00553    0.350278
           5    0.416447     1.00525    0.313214
           6    0.415896     1.00504    0.285859
           7    0.407624     1.00322    0.264123
           8    0.405009     1.00282    0.246862
           9    0.426166     1.00394    0.233076
          10    0.418723     1.00469    0.221281
          11    0.450722       1.008    0.211792
          12     0.42611     1.00833    0.202875
          13    0.419839     1.00839    0.194929
          14    0.425126      1.0089    0.187948
          15    0.433932     1.00991    0.181787
          16    0.400354     1.00858    0.175736
          17    0.412111     1.00823    0.170413
          18    0.405125     1.00745    0.165458
          19    0.418257     1.00767    0.161076
          20    0.408145      1.0072    0.156906
