#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.07851     8.07851           0
           2     7.57051     7.82451    0.179605
           3     8.01234     7.88712    0.130192
           4     8.10648     7.94196    0.108582
           5     7.74028     7.90162   0.0940595
           6     8.11918     7.93788   0.0850854
           7      7.8803     7.92966   0.0733269
           8     8.46177     7.99617    0.089374
           9     8.58053      8.0611    0.100292
          10     8.86269     8.14126    0.118027
          11     8.25311     8.15143    0.107734
          12     7.83186      8.1248    0.101995
          13     7.86722     8.10498    0.096054
          14     8.40149     8.12616   0.0914981
          15     8.27284     8.13594   0.0859191
          16     8.44307     8.15514   0.0826657
          17     8.12029     8.15309   0.0778284
          18     8.45746        8.17   0.0753191
          19     8.58033     8.19159   0.0743867
          20     7.94992     8.17951   0.0716421
