#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.093908    0.093908           0
           2     0.06952    0.081714  0.00862246
           3     0.06654    0.076656  0.00707804
           4     0.09292    0.080722  0.00637022
           5    0.073704   0.0793184  0.00524853
           6     0.07764   0.0790387  0.00438123
           7    0.083956   0.0797411  0.00381124
           8    0.082196    0.080048  0.00334716
           9    0.067808    0.078688  0.00323979
          10    0.056548    0.076474  0.00359355
          11    0.073852   0.0762356  0.00327476
          12    0.061384    0.074998  0.00322727
          13    0.073144   0.0748554  0.00298217
          14    0.054144    0.073376  0.00311456
          15    0.063648   0.0727275  0.00297367
          16    0.065044   0.0722473  0.00282633
          17    0.075308   0.0724273   0.0026658
          18    0.093776   0.0736133    0.002769
          19    0.096616    0.074824  0.00287578
          20    0.056756   0.0739206  0.00287038
