#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.514581   -0.514581           0
           2   -0.516668   -0.515625  0.00073788
           3   -0.515491    -0.51558  0.00049326
           4   -0.516423   -0.515791 0.000412479
           5    -0.51858   -0.516349 0.000598114
           6   -0.515575    -0.51622 0.000512138
           7   -0.517784   -0.516443 0.000485309
           8   -0.516545   -0.516456  0.00042481
           9   -0.514099   -0.516194  0.00045114
          10   -0.518907   -0.516465 0.000480714
          11   -0.514863    -0.51632 0.000458564
          12    -0.51757   -0.516424 0.000432031
          13   -0.515585   -0.516359 0.000403586
          14   -0.519749   -0.516601 0.000441448
          15   -0.516464   -0.516592 0.000412112
          16   -0.514541   -0.516464 0.000405803
          17   -0.518052   -0.516558 0.000392528
          18   -0.516094   -0.516532 0.000371564
          19   -0.518345   -0.516627  0.00036406
          20   -0.516459   -0.516619 0.000345953
