#    r:        g(r):       error:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00155899           0
    0.936212   0.0234285           0
    0.961861    0.165665           0
    0.987511    0.550754           0
     1.01316     1.18532           0
     1.03881     1.82832           0
     1.06446     2.32985           0
     1.09011     2.55199           0
     1.11576     2.54834           0
     1.14141     2.41618           0
     1.16706     2.20551           0
     1.19271      2.0036           0
     1.21836     1.76153           0
     1.24401     1.58009           0
     1.26966     1.40577           0
     1.29531     1.25327           0
     1.32096     1.12901           0
     1.34661     1.02324           0
     1.37226    0.939706           0
     1.39791    0.871956           0
     1.42355     0.82184           0
      1.4492    0.772045           0
     1.47485    0.729468           0
      1.5005    0.693735           0
     1.52615    0.673793           0
      1.5518    0.668201           0
     1.57745    0.663905           0
      1.6031     0.66379           0
     1.62875    0.661609           0
      1.6544    0.677942           0
     1.68005     0.69833           0
      1.7057    0.733095           0
     1.73135    0.757717           0
       1.757    0.785097           0
     1.78265    0.810149           0
      1.8083    0.848766           0
     1.83395    0.897049           0
      1.8596    0.935783           0
     1.88525    0.984068           0
      1.9109     1.01922           0
     1.93655     1.05346           0
      1.9622     1.09993           0
     1.98785     1.14181           0
      2.0135     1.17348           0
     2.03915     1.19717           0
      2.0648     1.21824           0
     2.09045     1.22873           0
      2.1161     1.22701           0
     2.14174     1.22233           0
     2.16739     1.20166           0
     2.19304     1.18093           0
     2.21869     1.15232           0
     2.24434     1.12335           0
     2.26999     1.08641           0
     2.29564     1.05685           0
     2.32129     1.02358           0
     2.34694    0.994186           0
     2.37259    0.971675           0
     2.39824    0.947201           0
     2.42389    0.930776           0
     2.44954    0.921467           0
     2.47519    0.908219           0
     2.50084    0.899434           0
     2.52649    0.889869           0
     2.55214    0.884364           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00128387 0.000194536
    0.936212   0.0235151 6.12438e-05
    0.961861    0.164252 0.000999364
    0.987511    0.556459   0.0040341
     1.01316     1.18928  0.00279885
     1.03881      1.8472   0.0133565
     1.06446     2.34325  0.00947003
     1.09011     2.53104   0.0148116
     1.11576     2.55307  0.00334375
     1.14141     2.41527 0.000642437
     1.16706     2.20273  0.00196834
     1.19271     1.98975  0.00979603
     1.21836     1.76012   0.0009995
     1.24401     1.56589   0.0100404
     1.26966       1.397   0.0062017
     1.29531     1.25191 0.000960776
     1.32096     1.12793 0.000764209
     1.34661     1.02479  0.00109132
     1.37226    0.937726  0.00140019
     1.39791    0.869134  0.00199553
     1.42355    0.814968  0.00485942
      1.4492    0.766507  0.00391534
     1.47485    0.731751  0.00161395
      1.5005    0.703648  0.00700945
     1.52615    0.682557  0.00619674
      1.5518    0.675316  0.00503089
     1.57745    0.668587  0.00331075
      1.6031    0.671907  0.00573958
     1.62875    0.669762  0.00576487
      1.6544    0.679891  0.00137824
     1.68005    0.701676  0.00236554
      1.7057     0.72758  0.00389956
     1.73135    0.752805  0.00347336
       1.757    0.783037   0.0014569
     1.78265    0.815354  0.00368063
      1.8083    0.855438  0.00471803
     1.83395    0.896714 0.000236827
      1.8596    0.938618   0.0020043
     1.88525    0.982028  0.00144277
      1.9109     1.01853 0.000489358
     1.93655      1.0557  0.00158886
      1.9622     1.10025  0.00022681
     1.98785     1.13661  0.00367979
      2.0135     1.16729  0.00437899
     2.03915      1.1911  0.00429319
      2.0648      1.2116  0.00469574
     2.09045     1.22392  0.00339465
      2.1161     1.22543  0.00111848
     2.14174     1.21674  0.00395502
     2.16739     1.19589  0.00407673
     2.19304      1.1765  0.00313492
     2.21869     1.15108 0.000881651
     2.24434     1.12293 0.000296584
     2.26999     1.08851  0.00148451
     2.29564     1.06226  0.00382374
     2.32129     1.02814  0.00322324
     2.34694     1.00054  0.00449536
     2.37259     0.97246 0.000555467
     2.39824    0.949804  0.00184031
     2.42389     0.93175 0.000688676
     2.44954    0.922619 0.000814632
     2.47519    0.906687   0.0010833
     2.50084    0.903109  0.00259852
     2.52649    0.892682   0.0019893
     2.55214    0.884268 6.76224e-05
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00143671 0.000179982
    0.936212   0.0244823 0.000790742
    0.961861    0.169516  0.00434944
    0.987511    0.563587  0.00641141
     1.01316     1.20001  0.00895998
     1.03881      1.8584     0.01276
     1.06446     2.33661  0.00832074
     1.09011     2.54034   0.0124543
     1.11576     2.54773   0.0048992
     1.14141     2.40459  0.00872791
     1.16706     2.20363  0.00150411
     1.19271     1.98893  0.00656505
     1.21836     1.75392  0.00510669
     1.24401     1.56041  0.00805274
     1.26966      1.3971  0.00413528
     1.29531     1.24787  0.00336549
     1.32096     1.12342  0.00371914
     1.34661     1.02069  0.00342729
     1.37226    0.935983  0.00170166
     1.39791    0.867151  0.00209563
     1.42355    0.815771  0.00330519
      1.4492    0.765955  0.00264889
     1.47485    0.734517   0.0025023
      1.5005    0.705659   0.0049531
     1.52615     0.68459  0.00445229
      1.5518    0.674461  0.00342592
     1.57745    0.669582  0.00235168
      1.6031    0.673117  0.00395182
     1.62875    0.675898   0.0063144
      1.6544    0.686803  0.00571806
     1.68005    0.708795  0.00602301
      1.7057    0.730419  0.00348309
     1.73135    0.755261  0.00306321
       1.757    0.782023  0.00127637
     1.78265     0.81453   0.0025443
      1.8083    0.854088  0.00333298
     1.83395    0.895515 0.000991447
      1.8596    0.934986  0.00325239
     1.88525    0.980455  0.00160467
      1.9109     1.01369  0.00396613
     1.93655     1.05498  0.00121124
      1.9622     1.10129 0.000861607
     1.98785       1.136  0.00250363
      2.0135     1.16757  0.00292808
     2.03915     1.18626  0.00487967
      2.0648     1.20734  0.00467971
     2.09045     1.21934  0.00437423
      2.1161     1.22207  0.00284246
     2.14174     1.21561  0.00279255
     2.16739      1.1949  0.00283493
     2.19304     1.17504  0.00240808
     2.21869     1.15077   0.0006395
     2.24434      1.1233 0.000361605
     2.26999     1.08999  0.00156446
     2.29564     1.06164   0.0025986
     2.32129     1.02988  0.00257591
     2.34694     1.00377  0.00399197
     2.37259    0.975612  0.00260008
     2.39824    0.954316  0.00388295
     2.42389    0.936869  0.00420511
     2.44954    0.924998  0.00201653
     2.47519    0.909356  0.00229582
     2.50084    0.906727  0.00342471
     2.52649     0.89459  0.00204596
     2.55214    0.883351  0.00075004
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.21577e-05 1.05289e-05
    0.910562  0.00151314 0.000150338
    0.936212   0.0244462 0.000593879
    0.961861    0.168297  0.00342857
    0.987511    0.562358  0.00492494
     1.01316     1.20383   0.0074902
     1.03881     1.86148  0.00993637
     1.06446     2.33366  0.00674424
     1.09011     2.54825   0.0115843
     1.11576     2.54133  0.00665224
     1.14141     2.40389  0.00657409
     1.16706     2.20047  0.00296029
     1.19271      1.9829   0.0071749
     1.21836     1.75413  0.00383443
     1.24401     1.56156  0.00612155
     1.26966     1.39772  0.00314827
     1.29531     1.25036  0.00332145
     1.32096     1.12729  0.00436043
     1.34661     1.02567  0.00502191
     1.37226    0.940815  0.00437459
     1.39791    0.871174  0.00382246
     1.42355    0.813494  0.00316755
      1.4492    0.767243   0.0022782
     1.47485    0.734217   0.0018947
      1.5005    0.707342  0.00399034
     1.52615     0.68595  0.00354072
      1.5518    0.675143  0.00263648
     1.57745    0.668874  0.00186702
      1.6031     0.67313  0.00296389
     1.62875    0.675693  0.00473913
      1.6544    0.684104  0.00488425
     1.68005    0.707091   0.0047523
      1.7057    0.728327   0.0031789
     1.73135    0.751068  0.00429709
       1.757    0.780483  0.00164187
     1.78265     0.81463  0.00191018
      1.8083    0.853613  0.00253329
     1.83395    0.894614  0.00107808
      1.8596    0.935927   0.0025719
     1.88525     0.97964  0.00139525
      1.9109     1.01554  0.00337677
     1.93655       1.058  0.00276511
      1.9622     1.10044 0.000977811
     1.98785     1.13497  0.00207932
      2.0135     1.16614  0.00252073
     2.03915     1.18845  0.00412549
      2.0648     1.20666  0.00355937
     2.09045     1.21855  0.00335069
      2.1161     1.22061  0.00247764
     2.14174     1.21354  0.00275962
     2.16739     1.19392  0.00228969
     2.19304     1.17589  0.00195274
     2.21869     1.15013 0.000729044
     2.24434      1.1259  0.00226313
     2.26999     1.09007  0.00117508
     2.29564     1.06326  0.00240473
     2.32129     1.03261  0.00305435
     2.34694     1.00687  0.00401999
     2.37259    0.979594  0.00396133
     2.39824    0.957442  0.00397659
     2.42389    0.941096  0.00483166
     2.44954    0.926816  0.00218363
     2.47519    0.911745   0.0026919
     2.50084    0.906414  0.00258276
     2.52649    0.893447  0.00182605
     2.55214    0.884056 0.000829922
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
