#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.326579       1.329           0
           2    0.406318     1.36317    0.603684
           3    0.216013     1.31915    0.457609
           4    0.198166     1.29333    0.377494
           5    0.244266     1.28517    0.332942
           6    0.394179      1.3019    0.313776
           7    0.299829     1.30253     0.29095
           8    0.497863     1.32397     0.28213
           9    0.308632     1.32255    0.265574
          10    0.318434     1.32197    0.251966
          11    0.293207     1.31966    0.239428
          12    0.301892     1.31855    0.228868
          13    0.276099     1.31576    0.218889
          14    0.169925     1.30672    0.207373
          15    0.327301     1.30799    0.200908
          16    0.284255     1.30696    0.194196
          17    0.252262     1.30431    0.187516
          18    0.289296     1.30364    0.182083
          19    0.178463     1.29802    0.175309
          20    0.341964     1.30003     0.17157
