#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     89.7089     89.7089           0
           2     82.4775     86.0932     2.55669
           3     92.6031     88.2631     2.45853
           4     93.2376     89.5067     2.13539
           5     91.3111     89.8676     1.73854
           6     84.1542     88.9154     1.68955
           7      88.931     88.9176     1.44819
           8     77.1382     87.4452     1.87156
           9     87.2518     87.4237     1.66374
          10     87.9725     87.4786     1.49827
          11     87.3478     87.4667     1.36211
          12     87.5866     87.4767     1.24864
          13     90.7862     87.7313     1.17825
          14     94.1064     88.1866     1.17881
          15     87.4962     88.1406     1.10112
          16     89.1908     88.2062     1.03425
          17     90.6392     88.3494    0.983268
          18     90.3856     88.4625    0.935127
          19     93.8729     88.7472    0.928254
          20     84.8988     88.5548    0.901565
