#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00039    -1.00039           0
           2   -0.994477   -0.997435  0.00209176
           3    -1.00698    -1.00062  0.00294871
           4    -1.00834    -1.00255  0.00277209
           5    -1.00352    -1.00274  0.00222446
           6   -0.994664    -1.00139  0.00222402
           7     -1.0025    -1.00155  0.00191192
           8   -0.986777   -0.999706  0.00240493
           9    -1.00049   -0.999793   0.0021393
          10   -0.998367   -0.999651  0.00193011
          11    -1.00091   -0.999766  0.00175806
          12     -1.0015    -0.99991  0.00161749
          13    -1.00241     -1.0001  0.00150448
          14    -1.00911    -1.00075  0.00152849
          15   -0.998426    -1.00059   0.0014344
          16    -1.00292    -1.00074  0.00135209
          17    -1.00424    -1.00094  0.00128815
          18    -1.00069    -1.00093  0.00121666
          19    -1.00875    -1.00134  0.00122028
          20   -0.997299    -1.00114  0.00117588
