#    r:        g(r):       error:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562   0.0017424           0
    0.936212   0.0230387           0
    0.961861    0.154768           0
    0.987511    0.553199           0
     1.01316     1.18105           0
     1.03881     1.83881           0
     1.06446     2.30487           0
     1.09011     2.56571           0
     1.11576      2.5736           0
     1.14141      2.4447           0
     1.16706     2.22847           0
     1.19271     1.98686           0
     1.21836     1.78036           0
     1.24401     1.58157           0
     1.26966     1.39126           0
     1.29531     1.24719           0
     1.32096     1.12142           0
     1.34661     1.03635           0
     1.37226    0.953409           0
     1.39791    0.870392           0
     1.42355    0.808427           0
      1.4492    0.762725           0
     1.47485    0.717397           0
      1.5005    0.689295           0
     1.52615    0.676712           0
      1.5518    0.680704           0
     1.57745    0.663339           0
      1.6031    0.660298           0
     1.62875    0.669965           0
      1.6544    0.691911           0
     1.68005    0.693293           0
      1.7057    0.728031           0
     1.73135    0.750114           0
       1.757    0.771969           0
     1.78265    0.811312           0
      1.8083    0.857399           0
     1.83395    0.896763           0
      1.8596    0.927862           0
     1.88525    0.966592           0
      1.9109     1.01107           0
     1.93655     1.06848           0
      1.9622      1.0913           0
     1.98785     1.13776           0
      2.0135     1.16816           0
     2.03915     1.19306           0
      2.0648     1.21012           0
     2.09045     1.22937           0
      2.1161     1.23003           0
     2.14174     1.21903           0
     2.16739     1.19979           0
     2.19304     1.17898           0
     2.21869     1.16932           0
     2.24434     1.13847           0
     2.26999     1.10671           0
     2.29564     1.06738           0
     2.32129      1.0334           0
     2.34694     1.01291           0
     2.37259    0.971734           0
     2.39824    0.953542           0
     2.42389    0.937649           0
     2.44954    0.915783           0
     2.47519    0.902893           0
     2.50084    0.890724           0
     2.52649    0.883261           0
     2.55214    0.875723           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00265945 0.000648454
    0.936212   0.0245978  0.00110239
    0.961861    0.159029  0.00301258
    0.987511     0.56162   0.0059551
     1.01316      1.1918  0.00760247
     1.03881     1.84497  0.00435324
     1.06446     2.31525  0.00734074
     1.09011     2.55047   0.0107782
     1.11576     2.56227  0.00801219
     1.14141      2.4267   0.0127264
     1.16706     2.21918  0.00656764
     1.19271     1.96393    0.016218
     1.21836     1.76671  0.00965589
     1.24401     1.56645   0.0106904
     1.26966     1.39115  8.2033e-05
     1.29531      1.2453  0.00133879
     1.32096     1.11673  0.00331409
     1.34661     1.02927  0.00500551
     1.37226    0.947508  0.00417256
     1.39791    0.875293  0.00346522
     1.42355    0.815832  0.00523622
      1.4492     0.76781  0.00359585
     1.47485    0.729297  0.00841431
      1.5005    0.705538   0.0114859
     1.52615    0.693266   0.0117056
      1.5518    0.686038  0.00377181
     1.57745    0.674373  0.00780241
      1.6031    0.674252  0.00986698
     1.62875    0.677705  0.00547341
      1.6544    0.695119  0.00226835
     1.68005    0.698422  0.00362716
      1.7057    0.728324 0.000206897
     1.73135    0.751238 0.000794159
       1.757    0.781156  0.00649677
     1.78265    0.812499 0.000838936
      1.8083     0.84793  0.00669552
     1.83395    0.884256  0.00884414
      1.8596    0.919385  0.00599403
     1.88525    0.962667  0.00277541
      1.9109     1.00152    0.006751
     1.93655     1.05468   0.0097626
      1.9622     1.08408  0.00510492
     1.98785      1.1309  0.00484703
      2.0135     1.15637   0.0083339
     2.03915     1.19313 5.01028e-05
      2.0648     1.21096  0.00059231
     2.09045     1.23226   0.0020487
      2.1161     1.22851   0.0010749
     2.14174     1.22422  0.00366867
     2.16739     1.20363  0.00271229
     2.19304     1.17593  0.00215661
     2.21869     1.16038  0.00631938
     2.24434     1.13146  0.00495167
     2.26999     1.09824  0.00598339
     2.29564     1.06517  0.00156694
     2.32129     1.03905  0.00398931
     2.34694     1.01664  0.00263879
     2.37259    0.984361  0.00892896
     2.39824    0.964405  0.00768147
     2.42389    0.945073  0.00524895
     2.44954    0.925232  0.00668128
     2.47519     0.91403  0.00787505
     2.50084    0.904973    0.010075
     2.52649     0.89576  0.00883818
     2.55214    0.884342  0.00609397
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00192581 0.000738719
    0.936212   0.0242224 0.000796257
    0.961861    0.161459  0.00282352
    0.987511    0.564816  0.00475061
     1.01316     1.18912  0.00551909
     1.03881     1.84648  0.00315504
     1.06446     2.32911   0.0123325
     1.09011     2.54712  0.00768803
     1.11576     2.55354  0.00890884
     1.14141     2.42234  0.00920238
     1.16706     2.21656  0.00487246
     1.19271     1.96377   0.0108128
     1.21836      1.7618  0.00758149
     1.24401     1.57126  0.00813888
     1.26966     1.39003 0.000917293
     1.29531     1.24363  0.00163008
     1.32096     1.11647  0.00221988
     1.34661     1.02904  0.00334243
     1.37226    0.942161  0.00517631
     1.39791    0.874829    0.002341
     1.42355    0.815948   0.0034921
      1.4492    0.773793  0.00544163
     1.47485     0.73478  0.00717673
      1.5005    0.707211  0.00777814
     1.52615    0.694765  0.00789913
      1.5518    0.680694  0.00503635
     1.57745      0.6766   0.0055102
      1.6031    0.671169  0.00704326
     1.62875    0.679932  0.00407662
      1.6544    0.695466  0.00153861
     1.68005    0.701785  0.00365875
      1.7057    0.728651 0.000300171
     1.73135    0.749292  0.00167471
       1.757    0.777215  0.00539572
     1.78265    0.813072 0.000729608
      1.8083    0.851184  0.00519466
     1.83395     0.88188  0.00620695
      1.8596    0.921833  0.00446818
     1.88525     0.96534  0.00286067
      1.9109     1.00829  0.00712972
     1.93655     1.05298  0.00665331
      1.9622      1.0883  0.00483889
     1.98785     1.12997  0.00332045
      2.0135     1.15739   0.0056181
     2.03915     1.19166  0.00120093
      2.0648     1.20731  0.00300391
     2.09045     1.22411  0.00679546
      2.1161     1.22615  0.00205874
     2.14174     1.21822   0.0054723
     2.16739     1.19994  0.00350991
     2.19304     1.17666  0.00155839
     2.21869     1.15803  0.00462823
     2.24434     1.12778  0.00446452
     2.26999     1.09565  0.00451759
     2.29564     1.06672  0.00163913
     2.32129     1.03875  0.00267044
     2.34694     1.01545  0.00200993
     2.37259    0.987879  0.00660949
     2.39824    0.966903  0.00551233
     2.42389    0.950132  0.00541366
     2.44954    0.928545  0.00521106
     2.47519    0.920411  0.00739668
     2.50084    0.908503  0.00730904
     2.52649    0.897863  0.00613729
     2.55214    0.885197   0.0041222
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00155899 0.000638653
    0.936212   0.0245328  0.00065489
    0.961861     0.16333  0.00266631
    0.987511    0.568276  0.00465578
     1.01316     1.19485  0.00646321
     1.03881     1.85467  0.00747793
     1.06446     2.33633    0.011162
     1.09011     2.54864  0.00591561
     1.11576     2.54547  0.00966743
     1.14141     2.41298    0.010649
     1.16706      2.2062  0.00969004
     1.19271     1.96597  0.00833063
     1.21836     1.75864  0.00631016
     1.24401      1.5661  0.00756734
     1.26966     1.38879  0.00127068
     1.29531     1.24602  0.00240726
     1.32096     1.11786  0.00205868
     1.34661      1.0263  0.00345198
     1.37226    0.940181  0.00424411
     1.39791    0.872652  0.00257625
     1.42355    0.818074  0.00320117
      1.4492     0.76835  0.00623483
     1.47485    0.736358  0.00555346
      1.5005    0.705992  0.00592833
     1.52615    0.693314   0.0060562
      1.5518    0.681267  0.00380971
     1.57745    0.678727   0.0045247
      1.6031    0.673299  0.00559551
     1.62875    0.684028  0.00468317
      1.6544    0.699382  0.00358254
     1.68005    0.707665  0.00578418
      1.7057     0.73209  0.00298682
     1.73135    0.752632  0.00315389
       1.757    0.779947  0.00468733
     1.78265    0.814569  0.00140688
      1.8083    0.850348  0.00396272
     1.83395    0.880462  0.00481455
      1.8596    0.927691   0.0060798
     1.88525    0.963057  0.00291738
      1.9109     1.00673   0.0055173
     1.93655     1.05263  0.00499965
      1.9622     1.08824  0.00362951
     1.98785     1.12761  0.00321967
      2.0135     1.15566  0.00447453
     2.03915     1.18752  0.00369358
      2.0648     1.20203   0.0051025
     2.09045     1.22219  0.00535993
      2.1161     1.22081  0.00487525
     2.14174     1.21498  0.00497481
     2.16739     1.19724  0.00352511
     2.19304     1.17467   0.0020878
     2.21869     1.15938  0.00366178
     2.24434     1.13007  0.00389238
     2.26999     1.09677  0.00352552
     2.29564     1.06946  0.00267944
     2.32129     1.03936  0.00207029
     2.34694     1.01462  0.00166704
     2.37259     0.98809  0.00496048
     2.39824    0.968018  0.00424557
     2.42389    0.948853  0.00420858
     2.44954    0.930234  0.00417332
     2.47519    0.919392  0.00561731
     2.50084    0.908375   0.0054829
     2.52649    0.898472  0.00463314
     2.55214    0.886592  0.00331934
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
