#    r:        g(r):       error:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861   0.0038098           0
    0.987511   0.0963266           0
     1.01316    0.407379           0
     1.03881     1.23698           0
     1.06446     1.92089           0
     1.09011     2.52565           0
     1.11576     2.77122           0
     1.14141     2.74697           0
     1.16706     2.58332           0
     1.19271     2.34266           0
     1.21836     2.23486           0
     1.24401     2.68527           0
     1.26966     1.67661           0
     1.29531     1.32495           0
     1.32096     1.16028           0
     1.34661     1.04296           0
     1.37226    0.908875           0
     1.39791    0.811948           0
     1.42355    0.749039           0
      1.4492    0.681555           0
     1.47485     0.63239           0
      1.5005    0.620425           0
     1.52615    0.587976           0
      1.5518    0.578831           0
     1.57745     0.59017           0
      1.6031    0.619229           0
     1.62875     0.57779           0
      1.6544    0.551479           0
     1.68005    0.599976           0
      1.7057    0.642937           0
     1.73135    0.952274           0
       1.757     0.75981           0
     1.78265    0.719177           0
      1.8083    0.759331           0
     1.83395    0.845833           0
      1.8596    0.815068           0
     1.88525    0.860575           0
      1.9109    0.896835           0
     1.93655    0.945454           0
      1.9622     1.00725           0
     1.98785     1.09748           0
      2.0135     1.17896           0
     2.03915     1.24527           0
      2.0648     1.23049           0
     2.09045     1.27169           0
      2.1161     1.76211           0
     2.14174     1.28162           0
     2.16739      1.2209           0
     2.19304     1.20074           0
     2.21869     1.20705           0
     2.24434     1.20971           0
     2.26999     1.16733           0
     2.29564     1.07407           0
     2.32129     1.03834           0
     2.34694     1.00427           0
     2.37259      0.9735           0
     2.39824    0.957618           0
     2.42389    0.930326           0
     2.44954     1.17428           0
     2.47519    0.903767           0
     2.50084    0.860388           0
     2.52649    0.834436           0
     2.55214    0.823277           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00514119  0.00094143
    0.987511   0.0882153  0.00573556
     1.01316    0.422291   0.0105445
     1.03881     1.23863  0.00116251
     1.06446     2.02503   0.0736427
     1.09011     2.62711   0.0717388
     1.11576     2.90034   0.0913069
     1.14141     2.87302   0.0891254
     1.16706     2.65661   0.0518298
     1.19271     2.35001  0.00520094
     1.21836     2.11473   0.0849397
     1.24401     2.19525    0.346498
     1.26966     1.58419   0.0653475
     1.29531      1.3116  0.00944238
     1.32096      1.1808   0.0145124
     1.34661     1.02708    0.011226
     1.37226     0.90933 0.000322043
     1.39791    0.842667   0.0217217
     1.42355    0.764758   0.0111156
      1.4492    0.706689   0.0177725
     1.47485    0.655207   0.0161335
      1.5005    0.656535    0.025534
     1.52615    0.620439   0.0229544
      1.5518    0.598865   0.0141661
     1.57745    0.587754  0.00170809
      1.6031    0.596451   0.0161065
     1.62875    0.583414  0.00397662
      1.6544    0.591707   0.0284453
     1.68005    0.621466   0.0151951
      1.7057    0.634878  0.00569867
     1.73135    0.813731   0.0979652
       1.757    0.743974   0.0111978
     1.78265    0.737579   0.0130117
      1.8083    0.776229   0.0119489
     1.83395    0.835977  0.00696894
      1.8596    0.859177   0.0311893
     1.88525     0.88831   0.0196114
      1.9109    0.949714   0.0373912
     1.93655      1.0013   0.0394885
      1.9622     1.04648   0.0277419
     1.98785     1.13086   0.0236054
      2.0135     1.18797  0.00636769
     2.03915     1.25163  0.00449986
      2.0648      1.2584   0.0197386
     2.09045      1.2844  0.00898987
      2.1161     1.53032    0.163899
     2.14174     1.28423  0.00184851
     2.16739     1.23176  0.00768297
     2.19304     1.21291  0.00860753
     2.21869     1.20894  0.00133568
     2.24434     1.19316   0.0116983
     2.26999     1.15684  0.00742001
     2.29564     1.09462   0.0145287
     2.32129       1.032  0.00448797
     2.34694     1.02026   0.0113067
     2.37259    0.991884   0.0129993
     2.39824    0.948856  0.00619525
     2.42389    0.934959  0.00327562
     2.44954     1.04964   0.0881315
     2.47519    0.906158  0.00169053
     2.50084     0.85923 0.000818514
     2.52649    0.826231  0.00580145
     2.55214    0.827153  0.00274069
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00514802 0.000627645
    0.987511   0.0927431  0.00531867
     1.01316    0.438983    0.015335
     1.03881     1.22144   0.0140542
     1.06446      2.0044   0.0519043
     1.09011     2.66743   0.0580636
     1.11576     2.95801   0.0769564
     1.14141     2.93191    0.076439
     1.16706     2.69296   0.0455491
     1.19271     2.34165  0.00765389
     1.21836      2.0706   0.0671183
     1.24401     2.06634    0.253845
     1.26966     1.58301   0.0435757
     1.29531     1.31021  0.00639673
     1.32096     1.17352   0.0113565
     1.34661     1.02899  0.00764368
     1.37226    0.896189   0.0107323
     1.39791    0.827559   0.0190231
     1.42355    0.766918  0.00761719
      1.4492    0.703166   0.0121925
     1.47485    0.656691   0.0108237
      1.5005    0.646259   0.0189781
     1.52615    0.620277   0.0153035
      1.5518    0.599623  0.00946431
     1.57745    0.586144  0.00173944
      1.6031    0.594154   0.0109002
     1.62875    0.595516   0.0102309
      1.6544    0.607056   0.0227307
     1.68005    0.623254   0.0102348
      1.7057    0.636576  0.00404427
     1.73135    0.775057   0.0725431
       1.757    0.730418   0.0133507
     1.78265    0.742821  0.00967295
      1.8083    0.789376   0.0133672
     1.83395    0.855675   0.0167412
      1.8596    0.883317   0.0286505
     1.88525    0.920832   0.0295979
      1.9109    0.987974   0.0399659
     1.93655     1.03154   0.0360917
      1.9622     1.07122   0.0273897
     1.98785     1.13945   0.0172305
      2.0135     1.18255  0.00613168
     2.03915     1.23456   0.0142559
      2.0648     1.25047   0.0146674
     2.09045     1.26783   0.0147961
      2.1161     1.43154    0.135807
     2.14174     1.27722  0.00585795
     2.16739     1.22987  0.00534982
     2.19304     1.21149  0.00585522
     2.21869      1.2204  0.00940176
     2.24434     1.19972  0.00946002
     2.26999     1.16433   0.0078702
     2.29564     1.10699   0.0139953
     2.32129     1.04273  0.00925639
     2.34694     1.02429  0.00822418
     2.37259    0.998647   0.0102757
     2.39824    0.951609  0.00470203
     2.42389    0.930301  0.00438517
     2.44954     0.99992   0.0714166
     2.47519    0.900645  0.00464001
     2.50084    0.857403  0.00158892
     2.52649    0.832183  0.00621093
     2.55214    0.824871  0.00260965
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00530505 0.000489985
    0.987511   0.0967826  0.00530568
     1.01316    0.444071   0.0123162
     1.03881     1.20549    0.017374
     1.06446     2.01491   0.0399774
     1.09011     2.69982   0.0517984
     1.11576     3.01618   0.0766118
     1.14141     2.94406   0.0582868
     1.16706     2.70102   0.0348663
     1.19271     2.36235   0.0188191
     1.21836     2.08305   0.0514797
     1.24401     1.98318    0.203551
     1.26966     1.54713   0.0450939
     1.29531     1.29647   0.0128237
     1.32096     1.16061   0.0140541
     1.34661     1.00855   0.0186018
     1.37226    0.890831   0.0092909
     1.39791    0.824486   0.0145135
     1.42355    0.756196   0.0109021
      1.4492     0.69786   0.0102338
     1.47485    0.660994   0.0089322
      1.5005    0.644823   0.0142878
     1.52615    0.630299   0.0143899
      1.5518    0.613588   0.0140231
     1.57745    0.593815  0.00677084
      1.6031    0.605824   0.0129985
     1.62875     0.59804  0.00797821
      1.6544    0.607642   0.0170555
     1.68005    0.622115  0.00773923
      1.7057    0.640736  0.00470949
     1.73135    0.751093   0.0582313
       1.757    0.728785   0.0101124
     1.78265    0.737788  0.00846325
      1.8083      0.8023   0.0150258
     1.83395    0.858055   0.0127238
      1.8596    0.883996   0.0214959
     1.88525    0.929899   0.0235465
      1.9109    0.995286    0.030636
     1.93655     1.04942   0.0311869
      1.9622      1.0782   0.0214134
     1.98785     1.15493   0.0186214
      2.0135     1.18666   0.0058167
     2.03915     1.23335   0.0107434
      2.0648     1.24662   0.0114939
     2.09045     1.26986   0.0112345
      2.1161     1.39341    0.107076
     2.14174     1.27609  0.00450101
     2.16739     1.23871  0.00864578
     2.19304     1.22023  0.00875131
     2.21869     1.21871  0.00720191
     2.24434     1.19403  0.00864002
     2.26999     1.15902  0.00748459
     2.29564     1.10711    0.010497
     2.32129      1.0484  0.00850796
     2.34694     1.02788  0.00690941
     2.37259    0.997354   0.0077877
     2.39824    0.945944  0.00604159
     2.42389    0.926014  0.00496021
     2.44954    0.972853   0.0584669
     2.47519    0.892998  0.00748124
     2.50084    0.860564  0.00298568
     2.52649    0.837234  0.00639039
     2.55214    0.826602  0.00246524
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
