#    r:        g(r):       error:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00819313           0
    0.987511    0.095628           0
     1.01316    0.431091           0
     1.03881      1.1537           0
     1.06446     2.01292           0
     1.09011     2.72187           0
     1.11576     3.09797           0
     1.14141     3.13964           0
     1.16706     2.78829           0
     1.19271     2.37777           0
     1.21836     2.12637           0
     1.24401      1.8641           0
     1.26966     1.53048           0
     1.29531     1.29842           0
     1.32096     1.16931           0
     1.34661    0.979228           0
     1.37226      0.8944           0
     1.39791    0.746258           0
     1.42355    0.735772           0
      1.4492    0.656589           0
     1.47485    0.610198           0
      1.5005    0.607714           0
     1.52615    0.603223           0
      1.5518    0.597362           0
     1.57745    0.618724           0
      1.6031    0.612938           0
     1.62875    0.615865           0
      1.6544    0.615137           0
     1.68005    0.658475           0
      1.7057    0.634731           0
     1.73135    0.663104           0
       1.757    0.713751           0
     1.78265    0.724098           0
      1.8083    0.773535           0
     1.83395     0.88934           0
      1.8596    0.934737           0
     1.88525    0.986944           0
      1.9109      1.0158           0
     1.93655       1.059           0
      1.9622     1.10929           0
     1.98785     1.18161           0
      2.0135     1.16987           0
     2.03915     1.19678           0
      2.0648     1.25398           0
     2.09045     1.31369           0
      2.1161     1.29905           0
     2.14174     1.29657           0
     2.16739      1.3024           0
     2.19304     1.26859           0
     2.21869     1.25197           0
     2.24434     1.22593           0
     2.26999     1.15189           0
     2.29564     1.07046           0
     2.32129     1.04512           0
     2.34694     1.00092           0
     2.37259    0.975293           0
     2.39824     0.95756           0
     2.42389    0.934977           0
     2.44954    0.913119           0
     2.47519    0.892911           0
     2.50084     0.87851           0
     2.52649    0.850098           0
     2.55214    0.806362           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00581712  0.00168009
    0.987511   0.0941532  0.00104283
     1.01316    0.418904  0.00861787
     1.03881     1.13873   0.0105863
     1.06446     2.02444   0.0081407
     1.09011     2.76608    0.031259
     1.11576     3.06555   0.0229255
     1.14141     3.02856   0.0785405
     1.16706     2.74408   0.0312596
     1.19271     2.35916   0.0131608
     1.21836     2.12829  0.00135646
     1.24401     1.81986   0.0312844
     1.26966     1.51273   0.0125511
     1.29531     1.32413    0.018176
     1.32096     1.13128   0.0268911
     1.34661    0.970997  0.00582036
     1.37226    0.888954  0.00385051
     1.39791    0.804836   0.0414208
     1.42355    0.790401   0.0386285
      1.4492    0.698476   0.0296188
     1.47485     0.66031   0.0354344
      1.5005    0.638434   0.0217229
     1.52615    0.634641   0.0222158
      1.5518    0.610682  0.00941862
     1.57745    0.591169   0.0194849
      1.6031    0.591812   0.0149382
     1.62875    0.602353  0.00955377
      1.6544    0.606488  0.00611592
     1.68005    0.657202 0.000899832
      1.7057    0.649488   0.0104348
     1.73135    0.664733  0.00115197
       1.757    0.715213  0.00103338
     1.78265    0.754608   0.0215738
      1.8083    0.783749  0.00722286
     1.83395     0.84715   0.0298325
      1.8596     0.89941   0.0249802
     1.88525    0.966457   0.0144864
      1.9109     1.04201   0.0185313
     1.93655     1.07383   0.0104858
      1.9622     1.11837  0.00642515
     1.98785     1.17229  0.00658801
      2.0135      1.1675  0.00167063
     2.03915      1.1954 0.000970743
      2.0648     1.22416    0.021085
     2.09045     1.29204   0.0153117
      2.1161     1.27547   0.0166755
     2.14174     1.27819   0.0130019
     2.16739     1.27428   0.0198827
     2.19304     1.24795    0.014599
     2.21869       1.248  0.00280333
     2.24434     1.24074   0.0104707
     2.26999     1.17241   0.0145124
     2.29564     1.09641   0.0183451
     2.32129     1.04267  0.00173448
     2.34694    0.992694  0.00581946
     2.37259    0.976238 0.000668404
     2.39824    0.974515   0.0119891
     2.42389    0.973061    0.026929
     2.44954    0.935573   0.0158778
     2.47519    0.917926   0.0176882
     2.50084    0.886223    0.005454
     2.52649    0.852303  0.00155896
     2.55214    0.814496  0.00575188
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000230965 0.000188582
    0.961861  0.00649988  0.00125112
    0.987511   0.0930665   0.0011272
     1.01316    0.415897  0.00624786
     1.03881     1.13626  0.00734045
     1.06446     2.00744   0.0148974
     1.09011     2.75299   0.0234194
     1.11576     3.03504   0.0292247
     1.14141      3.0175   0.0531342
     1.16706     2.75299   0.0220734
     1.19271     2.37914   0.0185255
     1.21836     2.14853   0.0165534
     1.24401     1.82961   0.0223235
     1.26966     1.54675   0.0290121
     1.29531     1.32891   0.0127308
     1.32096     1.17247   0.0381061
     1.34661     0.99628   0.0210055
     1.37226    0.896486  0.00666351
     1.39791    0.811497   0.0281444
     1.42355    0.780117   0.0270866
      1.4492     0.69472   0.0199826
     1.47485    0.655027   0.0240135
      1.5005     0.63614   0.0146026
     1.52615    0.618129   0.0200277
      1.5518    0.597547   0.0124276
     1.57745    0.581715   0.0151103
      1.6031    0.582952   0.0123091
     1.62875    0.582704   0.0172618
      1.6544     0.59173   0.0127212
     1.68005    0.633277   0.0195438
      1.7057    0.635087    0.013662
     1.73135    0.639869   0.0203165
       1.757    0.705757  0.00775094
     1.78265    0.745104   0.0163421
      1.8083     0.79028  0.00718491
     1.83395    0.854376   0.0207449
      1.8596    0.915264   0.0210927
     1.88525    0.974671   0.0117577
      1.9109     1.05422   0.0158791
     1.93655     1.08625   0.0123146
      1.9622     1.12477   0.0067563
     1.98785     1.16767  0.00579101
      2.0135     1.20738    0.032581
     2.03915     1.21574   0.0166142
      2.0648     1.23766   0.0178647
     2.09045     1.28593   0.0113603
      2.1161     1.27822   0.0113415
     2.14174      1.2748  0.00909835
     2.16739     1.27895   0.0137917
     2.19304     1.26175   0.0148905
     2.21869     1.25388  0.00514876
     2.24434     1.23939  0.00706598
     2.26999      1.1655   0.0112008
     2.29564     1.09323   0.0125018
     2.32129      1.0304   0.0100879
     2.34694     1.00198  0.00851466
     2.37259    0.994572   0.0149761
     2.39824    0.981987   0.0100549
     2.42389    0.952125    0.024789
     2.44954     0.92029   0.0163636
     2.47519    0.907525   0.0145318
     2.50084    0.867046   0.0160748
     2.52649     0.84345    0.007303
     2.55214    0.813829  0.00387313
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000173224 0.000150016
    0.961861  0.00614485 0.000987433
    0.987511   0.0960937  0.00275456
     1.01316    0.423249  0.00790532
     1.03881      1.1555   0.0175521
     1.06446     2.02043   0.0158506
     1.09011     2.77507   0.0259593
     1.11576     3.02985    0.022375
     1.14141     2.99782   0.0433423
     1.16706     2.74677   0.0174105
     1.19271     2.40416   0.0257388
     1.21836     2.12034   0.0273921
     1.24401     1.80821    0.024973
     1.26966     1.54419   0.0218717
     1.29531     1.33489   0.0108609
     1.32096     1.17122      0.0286
     1.34661    0.994383   0.0158395
     1.37226    0.889499  0.00784771
     1.39791    0.808392   0.0212789
     1.42355    0.766026   0.0236982
      1.4492    0.694259   0.0149923
     1.47485    0.653249   0.0180759
      1.5005    0.628943   0.0126015
     1.52615    0.615567   0.0151838
      1.5518    0.601301  0.00987138
     1.57745    0.587873   0.0125249
      1.6031    0.581963   0.0092714
     1.62875    0.583547   0.0129669
      1.6544    0.591369  0.00954601
     1.68005    0.634034   0.0146725
      1.7057    0.652223   0.0180339
     1.73135     0.65718   0.0213763
       1.757    0.705378  0.00582248
     1.78265    0.739725   0.0131122
      1.8083    0.788354  0.00564106
     1.83395    0.858895   0.0160433
      1.8596    0.909766   0.0165206
     1.88525    0.985854   0.0130981
      1.9109      1.0548   0.0119196
     1.93655     1.07676   0.0123609
      1.9622     1.13498     0.01019
     1.98785     1.16483  0.00499255
      2.0135      1.1966   0.0261608
     2.03915     1.22331   0.0140823
      2.0648     1.23697   0.0134119
     2.09045     1.28033  0.00980235
      2.1161     1.27183   0.0101498
     2.14174     1.27857  0.00756522
     2.16739     1.28053   0.0104336
     2.19304     1.26965   0.0130963
     2.21869      1.2493  0.00553137
     2.24434     1.23479   0.0066313
     2.26999     1.16055  0.00943249
     2.29564     1.10102   0.0115486
     2.32129     1.05054   0.0190122
     2.34694     1.00797  0.00822975
     2.37259    0.991594   0.0115244
     2.39824    0.966816    0.015149
     2.42389    0.942894   0.0202378
     2.44954    0.916896   0.0126198
     2.47519    0.895359   0.0151591
     2.50084    0.859438   0.0137389
     2.52649    0.837335  0.00761851
     2.55214    0.814234  0.00292605
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
