# mu sigma energy error acceptance
0.5 0.4 0.1655098528 0.02137159932 0.551
0.5 0.42 0.09949897056 0.01932750122 0.5589
0.5 0.44 0.01230380405 0.01812366784 0.56535
0.5 0.46 0.005370143561 0.01492466098 0.56325
0.5 0.48 -0.05749225014 0.01293480898 0.56735
0.5 0.5 -0.07965100859 0.01260603905 0.56645
0.5 0.52 -0.1125123079 0.01120988202 0.5629
0.5 0.54 -0.1120362485 0.01174477756 0.56625
0.5 0.56 -0.1440533713 0.01044009329 0.56405
0.5 0.58 -0.1626636329 0.01168557786 0.5705
0.5 0.6 -0.16172625 0.01048813724 0.5673
0.5 0.62 -0.1868188385 0.01051755446 0.5748
0.5 0.64 -0.1976087651 0.01029601474 0.5749
0.5 0.66 -0.2314543012 0.009846479766 0.5819
0.5 0.68 -0.23261894 0.0103166026 0.57905
0.5 0.7 -0.2277267038 0.009673190711 0.5884
0.5 0.72 -0.2496049888 0.01088607431 0.5833
0.5 0.74 -0.2724350969 0.01059736255 0.58805
0.5 0.76 -0.2493205994 0.009254111221 0.6008
0.5 0.78 -0.2604294694 0.01436480067 0.6017
0.5 0.8 -0.2567714604 0.01075555199 0.61445
0.52 0.4 0.143906391 0.02424227716 0.5595
0.52 0.42 0.07241620164 0.02183349424 0.5648
0.52 0.44 0.02297598259 0.01664367807 0.5742
0.52 0.46 -0.05772191537 0.01619981521 0.57555
0.52 0.48 -0.06532461568 0.01356723413 0.58005
0.52 0.5 -0.1277471232 0.01437462695 0.57835
0.52 0.52 -0.1261945185 0.01120084698 0.5809
0.52 0.54 -0.1523835675 0.01124517948 0.5761
0.52 0.56 -0.1791115227 0.01132377207 0.57545
0.52 0.58 -0.1864642676 0.0102808122 0.5808
0.52 0.6 -0.2011254287 0.009888228214 0.5766
0.52 0.62 -0.2175327624 0.009494859382 0.5805
0.52 0.64 -0.2503842091 0.009642689825 0.5923
0.52 0.66 -0.2238303639 0.01075562316 0.5891
0.52 0.68 -0.2616866082 0.009945840493 0.59005
0.52 0.7 -0.2558655156 0.009891546882 0.591
0.52 0.72 -0.2656519843 0.008743834752 0.5953
0.52 0.74 -0.26158016 0.01428374317 0.5977
0.52 0.76 -0.267768918 0.008873788547 0.61285
0.52 0.78 -0.2936425875 0.008517647168 0.60855
0.52 0.8 -0.2807499216 0.01542257866 0.6186
0.54 0.4 0.1594494011 0.02412146301 0.5585
0.54 0.42 0.06145044336 0.02211532366 0.5791
0.54 0.44 -0.006576764189 0.0188927154 0.58555
0.54 0.46 -0.07294614639 0.01570440992 0.58885
0.54 0.48 -0.125072123 0.01544258732 0.59275
0.54 0.5 -0.1486481911 0.01265739664 0.5948
0.54 0.52 -0.1745413906 0.01077629958 0.5897
0.54 0.54 -0.1886450729 0.01126189705 0.5953
0.54 0.56 -0.2123675772 0.0105953085 0.59235
0.54 0.58 -0.2297602934 0.01115567492 0.59125
0.54 0.6 -0.2191180521 0.009120134975 0.59345
0.54 0.62 -0.2412364961 0.009157376202 0.59995
0.54 0.64 -0.2473059497 0.008118199515 0.5953
0.54 0.66 -0.2482543614 0.008353094207 0.59735
0.54 0.68 -0.2786313475 0.009624244269 0.5984
0.54 0.7 -0.2688483572 0.009399509164 0.60185
0.54 0.72 -0.2870566243 0.008455849667 0.60335
0.54 0.74 -0.2896074132 0.009237931106 0.6083
0.54 0.76 -0.2992789982 0.008940559563 0.61575
0.54 0.78 -0.3002358515 0.009434553362 0.62005
0.54 0.8 -0.2777618483 0.01387196448 0.62445
0.56 0.4 0.1190958878 0.02798670349 0.56545
0.56 0.42 0.07112453082 0.02209461549 0.5789
0.56 0.44 -0.05317923272 0.01940452285 0.58535
0.56 0.46 -0.08454667878 0.01558910338 0.59335
0.56 0.48 -0.1134340923 0.01406061584 0.60855
0.56 0.5 -0.174862969 0.01279493099 0.60975
0.56 0.52 -0.1848719231 0.01201815974 0.60715
0.56 0.54 -0.2220217969 0.01146159258 0.6043
0.56 0.56 -0.2405672039 0.0104422298 0.6052
0.56 0.58 -0.2503067753 0.00987945579 0.604
0.56 0.6 -0.2576547379 0.008923534547 0.6052
0.56 0.62 -0.2577257745 0.008929700915 0.60355
0.56 0.64 -0.2738079503 0.008712403534 0.61415
0.56 0.66 -0.298751799 0.007942724151 0.6036
0.56 0.68 -0.2922724067 0.009458545562 0.6094
0.56 0.7 -0.291112288 0.009671531108 0.6108
0.56 0.72 -0.2856362988 0.0090531817 0.61415
0.56 0.74 -0.2949495927 0.009966286303 0.6166
0.56 0.76 -0.3077085721 0.01243092408 0.62225
0.56 0.78 -0.2921738676 0.009935857168 0.62305
0.56 0.8 -0.3060482715 0.00911446344 0.63375
0.58 0.4 0.23163404 0.02750693431 0.56235
0.58 0.42 0.03674762269 0.02249179104 0.5833
0.58 0.44 -0.06383861033 0.01885267066 0.59345
0.58 0.46 -0.1266413726 0.01834298008 0.6143
0.58 0.48 -0.1765613464 0.01439640589 0.614
0.58 0.5 -0.2029223143 0.01211433174 0.6196
0.58 0.52 -0.2112189011 0.01151235791 0.62405
