# mu sigma energy error acceptance
0.2 0.2 2.731081137 0.09403971124 0.2456
0.2 0.25 1.962920433 0.06008374682 0.2574
0.2 0.3 1.579304374 0.04251373185 0.28515
0.2 0.35 1.278906335 0.0365307036 0.3092
0.2 0.4 0.9959116662 0.02929231027 0.33695
0.2 0.45 0.7534540833 0.02540798588 0.376
0.2 0.5 0.5775991765 0.02169256347 0.4017
0.2 0.55 0.4014683273 0.01926364379 0.4302
0.2 0.6 0.2847913472 0.01656202334 0.4564
0.2 0.65 0.1210532452 0.01601817976 0.48
0.2 0.7 0.001713148413 0.01466665972 0.50505
0.2 0.75 -0.06041503069 0.01308219992 0.52925
0.2 0.8 -0.1128303333 0.01170422587 0.55
0.2 0.85 -0.1998227568 0.01119310359 0.5749
0.2 0.9 -0.2288011941 0.01168608899 0.5826
0.25 0.2 2.873155259 0.1222384447 0.2937
0.25 0.25 1.738821509 0.05038780165 0.3125
0.25 0.3 1.307038994 0.03499276493 0.32095
0.25 0.35 1.070163815 0.02839307294 0.33605
0.25 0.4 0.8148982086 0.02836236874 0.36445
0.25 0.45 0.61610387 0.02362708148 0.3915
0.25 0.5 0.4679803355 0.02055746083 0.41
0.25 0.55 0.3224941716 0.01798509586 0.44225
0.25 0.6 0.1442327834 0.0178909913 0.466
0.25 0.65 0.1008873845 0.01586708566 0.49025
0.25 0.7 -0.02369850291 0.01605814876 0.5105
0.25 0.75 -0.07065752781 0.01234425693 0.5352
0.25 0.8 -0.1545946025 0.01032937414 0.56005
0.25 0.85 -0.1898657549 0.01271658541 0.5723
0.25 0.9 -0.2337651212 0.01045259236 0.58395
0.3 0.2 3.142945953 0.1584388357 0.3144
0.3 0.25 1.675523347 0.06041979601 0.35665
0.3 0.3 1.052089708 0.03135572572 0.3699
0.3 0.35 0.8512806582 0.02005253207 0.373
0.3 0.4 0.6272939523 0.02211269668 0.3894
0.3 0.45 0.473688962 0.02311929838 0.4171
0.3 0.5 0.3700255654 0.01705427866 0.4334
0.3 0.55 0.2274929396 0.01711167926 0.4546
