# L   Nblocks   H_mean   H_error
10 18000 -0.443914 0.00156651
20 9000 -0.443914 0.00162109
30 6000 -0.443914 0.00165027
40 4500 -0.443914 0.00165877
50 3600 -0.443914 0.00166135
60 3000 -0.443914 0.00166331
70 2571 -0.443915 0.00167522
80 2250 -0.443914 0.00165788
90 2000 -0.443914 0.00166251
100 1800 -0.443914 0.00167652
150 1200 -0.443914 0.00167225
200 900 -0.443914 0.00168235
250 720 -0.443914 0.00160827
300 600 -0.443914 0.00164599
350 514 -0.443872 0.00165811
400 450 -0.443914 0.00162393
450 400 -0.443914 0.00161302
500 360 -0.443914 0.00160328
1000 180 -0.443914 0.00162256
1500 120 -0.443914 0.00156974
2000 90 -0.443914 0.00157215
2500 72 -0.443914 0.00156597
3000 60 -0.443914 0.00160697
3500 51 -0.443951 0.00147804
4000 45 -0.443914 0.00154339
4500 40 -0.443914 0.00146534
5000 36 -0.443914 0.00155467
