# x_mid  count
-4.95 0
-4.85 0
-4.75 0
-4.65 0
-4.55 0
-4.45 0
-4.35 0
-4.25 0
-4.15 0
-4.05 0
-3.95 0
-3.85 0
-3.75 0
-3.65 0
-3.55 0
-3.45 0
-3.35 0
-3.25 0
-3.15 0
-3.05 0
-2.95 0
-2.85 0
-2.75 1
-2.65 0
-2.55 0
-2.45 2
-2.35 11
-2.25 35
-2.15 45
-2.05 114
-1.95 195
-1.85 350
-1.75 620
-1.65 1055
-1.55 1499
-1.45 2203
-1.35 3007
-1.25 4012
-1.15 5028
-1.05 5970
-0.95 6848
-0.85 7115
-0.75 7681
-0.65 7606
-0.55 7267
-0.45 6864
-0.35 6405
-0.25 5850
-0.15 5719
-0.05 5279
0.05 5391
0.15 5506
0.25 6139
0.35 6394
0.45 6556
0.55 6996
0.65 7502
0.75 7496
0.85 7102
0.95 6606
1.05 5838
1.15 5022
1.25 3752
1.35 2952
1.45 2175
1.55 1472
1.65 966
1.75 604
1.85 345
1.95 211
2.05 113
2.15 57
2.25 14
2.35 8
2.45 0
2.55 1
2.65 1
2.75 0
2.85 0
2.95 0
3.05 0
3.15 0
3.25 0
3.35 0
3.45 0
3.55 0
3.65 0
3.75 0
3.85 0
3.95 0
4.05 0
4.15 0
4.25 0
4.35 0
4.45 0
4.55 0
4.65 0
4.75 0
4.85 0
4.95 0
