# step  T_sa   H_avg   H_err   mu   sigma   accept_flag   acc_rate_MC
0 1 24.0829 0.725865 0.5 0.1 1 0.0898
1 1 21.5797 0.727598 0.503561 0.10625 1 0.0944889
2 0.95 12.892 0.303481 0.513816 0.137254 1 0.124467
3 0.9025 10.6978 0.308413 0.586847 0.146228 1 0.132556
4 0.857375 9.78453 0.304612 0.580874 0.151438 1 0.135333
5 0.814506 4.09297 0.104224 0.611122 0.226977 1 0.206178
6 0.773781 4.09297 0.104224 0.611122 0.226977 0 0.158933
7 0.735092 3.74367 0.0832243 0.511869 0.228819 1 0.208578
8 0.698337 3.74367 0.0832243 0.511869 0.228819 0 0.199889
9 0.66342 3.74367 0.0832243 0.511869 0.228819 0 0.186467
10 0.630249 1.39547 0.0539018 0.524141 0.297274 1 0.280178
11 0.598737 1.49481 0.0504143 0.548944 0.299829 1 0.281044
12 0.5688 0.667558 0.0406482 0.496934 0.331755 1 0.311578
13 0.54036 0.667558 0.0406482 0.496934 0.331755 0 0.287556
14 0.513342 0.667558 0.0406482 0.496934 0.331755 0 0.285067
15 0.487675 0.667558 0.0406482 0.496934 0.331755 0 0.292267
16 0.463291 0.667558 0.0406482 0.496934 0.331755 0 0.280733
17 0.440127 0.667558 0.0406482 0.496934 0.331755 0 0.230822
18 0.41812 0.667558 0.0406482 0.496934 0.331755 0 0.281111
19 0.397214 0.667558 0.0406482 0.496934 0.331755 0 0.2552
20 0.377354 0.333356 0.0168163 0.435124 0.373206 1 0.314089
21 0.358486 0.190436 0.0156773 0.415199 0.436439 1 0.309578
22 0.340562 0.190436 0.0156773 0.415199 0.436439 0 0.281733
23 0.323534 0.0900324 0.0107233 0.442497 0.466676 1 0.321911
24 0.307357 0.0247551 0.00963218 0.414187 0.553547 1 0.333422
25 0.291989 -0.130738 0.00708271 0.510229 0.539793 1 0.373089
26 0.27739 -0.225802 0.00629799 0.555296 0.541024 1 0.405489
27 0.26352 -0.257076 0.0068187 0.58614 0.548714 1 0.421933
28 0.250344 -0.24003 0.0103303 0.648772 0.498405 1 0.440467
29 0.237827 -0.280909 0.00964284 0.648788 0.502211 1 0.446622
30 0.225936 -0.280909 0.00964284 0.648788 0.502211 0 0.363222
31 0.214639 -0.293294 0.00629169 0.618919 0.542595 1 0.442178
32 0.203907 -0.268776 0.00596535 0.594076 0.548337 1 0.428
33 0.193711 -0.28682 0.00627025 0.58422 0.591492 1 0.423844
34 0.184026 -0.0820031 0.00942374 0.48023 0.545301 1 0.3568
35 0.174825 -0.0820031 0.00942374 0.48023 0.545301 0 0.354222
36 0.166083 -0.0136368 0.00978082 0.46743 0.496643 1 0.346311
37 0.157779 -0.173588 0.00826828 0.504125 0.590742 1 0.3802
38 0.14989 -0.173588 0.00826828 0.504125 0.590742 0 0.361444
39 0.142396 0.0223993 0.00995756 0.415472 0.566021 1 0.332267
40 0.135276 -0.100318 0.00920119 0.462893 0.597624 1 0.361133
41 0.128512 -0.135593 0.00957498 0.462935 0.616539 1 0.368556
42 0.122087 -0.0913425 0.00755518 0.431733 0.628321 1 0.354178
43 0.115982 -0.199168 0.0067556 0.447469 0.715892 1 0.386
44 0.110183 -0.250139 0.00963345 0.479161 0.732857 1 0.406
45 0.104674 -0.250139 0.00963345 0.479161 0.732857 0 0.374622
46 0.0994403 -0.145332 0.00877984 0.438318 0.666689 1 0.3664
47 0.0944682 -0.267185 0.00626145 0.505161 0.742392 1 0.415089
48 0.0897448 -0.232802 0.00730436 0.455041 0.765156 1 0.402311
49 0.0852576 -0.230541 0.0073599 0.474454 0.72394 1 0.3924
50 0.0809947 -0.230541 0.0073599 0.474454 0.72394 0 0.3858
51 0.076945 -0.233873 0.00712919 0.475075 0.749118 1 0.404733
52 0.0730977 -0.257559 0.00712994 0.504404 0.726941 1 0.408933
53 0.0694428 -0.257559 0.00712994 0.504404 0.726941 0 0.394356
54 0.0659707 -0.254002 0.00881318 0.524829 0.67961 1 0.407911
55 0.0626722 -0.278901 0.00741808 0.514021 0.761056 1 0.420578
56 0.0595386 -0.297412 0.00665417 0.550788 0.728865 1 0.426022
57 0.0565616 -0.299559 0.00683042 0.527967 0.786258 1 0.430533
58 0.0537335 -0.299559 0.00683042 0.527967 0.786258 0 0.444711
59 0.0510469 -0.274627 0.00617502 0.515108 0.769516 1 0.420067
60 0.0484945 -0.247246 0.00867168 0.478806 0.774291 1 0.412733
61 0.0460698 -0.276724 0.00712742 0.526075 0.749005 1 0.423533
62 0.0437663 -0.30104 0.00562642 0.570355 0.696013 1 0.423578
63 0.041578 -0.30104 0.00562642 0.570355 0.696013 0 0.419956
64 0.0394991 -0.253526 0.00642252 0.522311 0.678617 1 0.4012
65 0.0375241 -0.278644 0.007142 0.545875 0.712724 1 0.422578
66 0.0356479 -0.325456 0.00562293 0.610893 0.714319 1 0.449778
67 0.0338655 -0.341471 0.00699764 0.610164 0.7576 1 0.454156
68 0.0321723 -0.348539 0.00807487 0.668252 0.760657 1 0.482711
69 0.0305636 -0.390743 0.00678823 0.717767 0.69732 1 0.500844
70 0.0290355 -0.418445 0.00331086 0.721154 0.632465 1 0.5064
71 0.0275837 -0.408814 0.00392918 0.696578 0.644425 1 0.494844
72 0.0262045 -0.408814 0.00392918 0.696578 0.644425 0 0.451844
73 0.0248943 -0.433104 0.00351613 0.748445 0.598074 1 0.506822
74 0.0236496 -0.401986 0.00472003 0.739189 0.560588 1 0.492111
75 0.0224671 -0.401986 0.00472003 0.739189 0.560588 0 0.486311
76 0.0213437 -0.401986 0.00472003 0.739189 0.560588 0 0.476
77 0.0202765 -0.401986 0.00472003 0.739189 0.560588 0 0.484933
78 0.0192627 -0.407005 0.00424188 0.709611 0.585275 1 0.489533
79 0.0182996 -0.438315 0.00352639 0.756075 0.59775 1 0.510022
80 0.0173846 -0.438315 0.00352639 0.756075 0.59775 0 0.494244
81 0.0165154 -0.438315 0.00352639 0.756075 0.59775 0 0.512
82 0.0156896 -0.438315 0.00352639 0.756075 0.59775 0 0.545956
83 0.0149051 -0.433372 0.00366664 0.742265 0.591776 1 0.508822
84 0.0141599 -0.433372 0.00366664 0.742265 0.591776 0 0.475511
85 0.0134519 -0.42178 0.00464022 0.766894 0.564749 1 0.498044
86 0.0127793 -0.42178 0.00464022 0.766894 0.564749 0 0.447156
87 0.0121403 -0.42178 0.00464022 0.766894 0.564749 0 0.483644
88 0.0115333 -0.440365 0.00464576 0.773717 0.651408 1 0.530844
89 0.0109566 -0.440365 0.00464576 0.773717 0.651408 0 0.523756
90 0.0104088 -0.444359 0.00350343 0.804313 0.602532 1 0.522622
91 0.00988836 -0.444359 0.00350343 0.804313 0.602532 0 0.495067
92 0.00939395 -0.444359 0.00350343 0.804313 0.602532 0 0.483422
93 0.00892425 -0.444359 0.00350343 0.804313 0.602532 0 0.555689
94 0.00847804 -0.444359 0.00350343 0.804313 0.602532 0 0.547178
95 0.00805413 -0.444359 0.00350343 0.804313 0.602532 0 0.522978
96 0.00765143 -0.444359 0.00350343 0.804313 0.602532 0 0.520889
97 0.00726886 -0.444359 0.00350343 0.804313 0.602532 0 0.499356
98 0.00690541 -0.444359 0.00350343 0.804313 0.602532 0 0.539267
99 0.00656014 -0.444359 0.00350343 0.804313 0.602532 0 0.485556
100 0.00623214 -0.444359 0.00350343 0.804313 0.602532 0 0.5154
101 0.00592053 -0.444359 0.00350343 0.804313 0.602532 0 0.519822
102 0.0056245 -0.444359 0.00350343 0.804313 0.602532 0 0.574156
103 0.00534328 -0.44085 0.00370968 0.826445 0.617985 1 0.531511
104 0.00507611 -0.44085 0.00370968 0.826445 0.617985 0 0.554756
105 0.00482231 -0.447421 0.00375621 0.824548 0.635045 1 0.541533
106 0.00458119 -0.447421 0.00375621 0.824548 0.635045 0 0.485422
107 0.00435213 -0.445215 0.00347212 0.770146 0.609654 1 0.518133
